index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
39,1990,,The Four Tops,"Renaldo ""Obie"" Benson, Abdul ""Duke"" Fakir, Lawrence Payton, and Levi Stubbs.[20]",1 (1989),Stevie Wonder,The Four Tops,"/wiki/File:Grand_Gala_du_Disque_._The_Four_Tops,_Bestanddeelnr_921-1504.jpg",/wiki/Four_Tops
40,1990,,The Kinks,"Mick Avory, Dave Davies, Ray Davies, and Pete Quaife.[21]",First nomination; First year of eligibility,Graham Nash,The Kinks,/wiki/File:Helmfrid-sofa4_Touched.JPG,/wiki/The_Kinks
41,1990,,The Platters,"David Lynch, Herb Reed, Paul Robi, Zola Taylor, and Tony Williams.[22]","2 (1988, 1989)",Phil Spector,The Platters,/wiki/File:The_Platters_First_Promo_Photo_crop.JPG,/wiki/The_Platters
42,1990,,Simon & Garfunkel,Paul Simon and Art Garfunkel.[23],First nomination; First year of eligibility,James Taylor,Simon & Garfunkel,/wiki/File:SimonandGarfunkel.jpg,/wiki/Simon_%26_Garfunkel
43,1990,,The Who,"Roger Daltrey, John Entwistle, Keith Moon, and Pete Townshend.[24]",First nomination; First year of eligibility,U2,The Who,/wiki/File:The_Who_in_1965.png,/wiki/The_Who
44,1991,,LaVern Baker,,"5 (1986, 1987, 1988, 1989, 1990)",Chaka Khan,LaVern Baker,/wiki/File:LaVern_Baker_1956.jpg,/wiki/LaVern_Baker
45,1991,,The Byrds,"Gene Clark, Michael Clarke, David Crosby, Chris Hillman, and Roger McGuinn.[25]",First nomination; First year of eligibility,Don Henley,The Byrds,/wiki/File:The_Byrds_1965.png,/wiki/The_Byrds
46,1991,,John Lee Hooker,,First nomination,Bonnie Raitt,John Lee Hooker,/wiki/File:John_Lee_Hooker_two.jpg,/wiki/John_Lee_Hooker
47,1991,,The Impressions,"Curtis Mayfield, Sam Gooden, Fred Cash, Arthur Brooks, Richard Brooks, and Jerry Butler.[26]","2 (1989, 1990)",Tracy Chapman,The Impressions,"/wiki/File:The_Impressions,_1964.png",/wiki/The_Impressions
48,1991,,Wilson Pickett[27],,"2 (1989, 1990)",Bobby Brown,Wilson Pickett,/wiki/File:Wilson_Pickett_1970s_press_photo.jpg,/wiki/Wilson_Pickett
49,1991,,Jimmy Reed,,"5 (1986, 1987, 1988, 1989, 1990)",ZZ Top,Jimmy Reed,/wiki/File:JimmyReed.jpg,/wiki/Jimmy_Reed
50,1991,,Ike & Tina Turner,Ike Turner and Tina Turner.[28],"2 (1989, 1990)",Phil Spector,Ike & Tina Turner,/wiki/File:Ike_%26_Tina_Turner_Midnight_Special_1974.jpg,/wiki/Ike_%26_Tina_Turner
51,1992,,"Bobby ""Blue"" Bland",,"5 (1986, 1987, 1988, 1989, 1991)",B.B. King,"Bobby ""Blue"" Bland",/wiki/File:BobbyBland1996.jpg,/wiki/Bobby_Bland
52,1992,,Booker T. & the M.G.'s,"Booker T. Jones, Steve Cropper, Donald ""Duck"" Dunn, Al Jackson Jr., and Lewie Steinberg.[29]","2 (1988, 1989)",Jim Stewart,Booker T. & the M.G.'s,/wiki/File:Booker_T._%26_the_M.G%27s.png,/wiki/Booker_T._%26_the_M.G.%27s
53,1992,,Johnny Cash,,"2 (1990, 1991)",Lyle Lovett,Johnny Cash,/wiki/File:JohnnyCash1969.jpg,/wiki/Johnny_Cash
54,1992,,The Isley Brothers,"Ernie Isley, Marvin Isley, O'Kelly Isley Jr., Ronald Isley, Rudolph Isley, and Chris Jasper.[30]",First nomination,Little Richard,The Isley Brothers,/wiki/File:The_Isley_Brothers.png,/wiki/The_Isley_Brothers
55,1992,,The Jimi Hendrix Experience,"Jimi Hendrix, Mitch Mitchell, and Noel Redding.[31]",First nomination; First year of eligibility,Neil Young,The Jimi Hendrix Experience,/wiki/File:Jimi_Hendrix_experience_1968.jpg,/wiki/The_Jimi_Hendrix_Experience
56,1992,,Sam & Dave,Sam Moore and Dave Prater.[32],First nomination; First year of eligibility,Billy Joel,Sam & Dave,/wiki/File:Sam_%26_Dave_(2).png,/wiki/Sam_%26_Dave
57,1992,,The Yardbirds,"Jeff Beck, Eric Clapton, Chris Dreja, Jim McCarty, Jimmy Page, Keith Relf, and Paul Samwell-Smith.[33]","2 (1990, 1991)",The Edge,The Yardbirds,/wiki/File:The_Yardbirds_in_1965_(true_monochrome).jpg,/wiki/The_Yardbirds
58,1993,,Ruth Brown,,"5 (1986, 1987, 1988, 1989, 1990)",Bonnie Raitt,Ruth Brown,/wiki/File:Ruth-Brown-1955.jpg,/wiki/Ruth_Brown
59,1993,,Cream,"Ginger Baker, Jack Bruce, and Eric Clapton.[34]",1 (1992),ZZ Top,Cream,/wiki/File:Cream_Clapton_Bruce_Baker_1960s.jpg,/wiki/Cream_(band)
60,1993,,Creedence Clearwater Revival,"Doug Clifford, Stu Cook, John Fogerty, and Tom Fogerty.[35]",First nomination; First year of eligibility,Bruce Springsteen,Creedence Clearwater Revival,/wiki/File:Creedence_Clearwater_Revival_1968.jpg,/wiki/Creedence_Clearwater_Revival
61,1993,,The Doors,"John Densmore, Robby Krieger, Ray Manzarek, and Jim Morrison.[36]",First nomination; First year of eligibility,Eddie Vedder,The Doors,/wiki/File:Doors_electra_publicity_photo.JPG,/wiki/The_Doors
62,1993,,Frankie Lymon & The Teenagers,"Herman Santiago, Jimmy Merchant, Sherman Garnes, Frankie Lymon, and Joe Negroni.[37]","7 (1986, 1987, 1988, 1989, 1990, 1991, 1992)",Boyz II Men,The Teenagers,/wiki/File:Frankie_Lymon_and_the_Teenagers.jpg,/wiki/Frankie_Lymon_%26_The_Teenagers
63,1993,,Etta James,,1 (1992),k.d. lang,Etta James,/wiki/File:Etta_James04.JPG,/wiki/Etta_James
64,1993,,Van Morrison,,First nomination; First year of eligibility,Robbie Robertson,Van Morrison,/wiki/File:Van-Morrison.jpg,/wiki/Van_Morrison
65,1993,,Sly and the Family Stone,"Gregg Errico, Larry Graham, Jerry Martini, Cynthia Robinson, Freddie Stone, Rosie Stone, and Sly Stone.[38]",First nomination; First year of eligibility,George Clinton,Sly and the Family Stone,/wiki/File:Sly_and_the_Family_Stone_(1968_publicity_photo).jpg,/wiki/Sly_and_the_Family_Stone
66,1994,,The Animals,"Eric Burdon, Chas Chandler, Alan Price, John Steel, and Hilton Valentine.[39]","2 (1990, 1993)",Dave Pirner,The Animals,/wiki/File:Eric_Burdon_%26_the_Animals.jpg,/wiki/The_Animals
67,1994,,The Band,"Rick Danko, Levon Helm, Garth Hudson, Richard Manuel, and Robbie Robertson.[40]",First nomination; First year of eligibility,Eric Clapton,The Band,/wiki/File:The_Band_(1969).png,/wiki/The_Band
68,1994,,Duane Eddy,,"7 (1986, 1987, 1988, 1989, 1990, 1991, 1992)",Mick Jones,Duane Eddy,/wiki/File:Duane_Eddy_1960.JPG,/wiki/Duane_Eddy
69,1994,,The Grateful Dead,"Tom Constanten, Jerry Garcia, Donna Jean Godchaux, Keith Godchaux, Mickey Hart, Robert Hunter, Bill Kreutzmann, Phil Lesh, Ron McKernan, Brent Mydland, Bob Weir, and Vince Welnick.[41]",1 (1993),Bruce Hornsby,The Grateful Dead,/wiki/File:Grateful_Dead_(1970).png,/wiki/Grateful_Dead
70,1994,,Elton John,,First nomination; First year of eligibility,Axl Rose,Elton John,/wiki/File:Elton_John_2023.jpg,/wiki/Elton_John
71,1994,,John Lennon,,First nomination; First year of eligibility,Paul McCartney,John Lennon,"/wiki/File:John_Lennon,_1974_(restored_cropped).jpg",/wiki/John_Lennon
72,1994,,Bob Marley,,1 (1990),Bono,Bob Marley,/wiki/File:Bob-Marley.jpg,/wiki/Bob_Marley
73,1994,,Rod Stewart,,1 (1993),Jeff Beck,Rod Stewart,/wiki/File:Rod_Stewart_(1971).png,/wiki/Rod_Stewart
74,1995,,The Allman Brothers Band,"Duane Allman, Gregg Allman, Dickey Betts, Jai Johanny Johanson, Berry Oakley, and Butch Trucks.[42]",First nomination; First year of eligibility,Willie Nelson,The Allman Brothers Band,/wiki/File:Allman_Brothers_Band_1969.jpg,/wiki/The_Allman_Brothers_Band
75,1995,,Al Green,,First nomination,Natalie Cole,Al Green,/wiki/File:Al_Green_1973.jpg,/wiki/Al_Green
76,1995,,Janis Joplin,,First nomination; First year of eligibility,Melissa Etheridge,Janis Joplin,/wiki/File:Janis_Joplin_seated_1970.JPG,/wiki/Janis_Joplin
77,1995,,Led Zeppelin,"John Bonham, John Paul Jones, Jimmy Page, and Robert Plant.[43]",First nomination; First year of eligibility,Steven Tyler and Joe Perry,Led Zeppelin,/wiki/File:Led_Zeppelin_-_promotional_image_(1971).jpg,/wiki/Led_Zeppelin
